aiguisent;aiguisaient;aiguisèrent;aiguisassent;aiguiseraient
ailettent;ailetaient;ailetèrent;ailetassent;ailetteraient
aillent;aillaient;aillèrent;aillassent;ailleraient
aimantent;aimantaient;aimantèrent;aimantassent;aimanteraient
aiment;aimaient;aimèrent;aimassent;aimeraient
airent;airaient;airèrent;airassent;aireraient
ajourent;ajouraient;ajourèrent;ajourassent;ajoureraient
ajournent;ajournaient;ajournèrent;ajournassent;ajourneraient
ajoutent;ajoutaient;ajoutèrent;ajoutassent;ajouteraient
ajustent;ajustaient;ajustèrent;ajustassent;ajusteraient
alanguissent;alanguissaient;alanguirent;alanguissent;alanguiraient
alarguent;alarguaient;alarguèrent;alarguassent;alargueraient
alarment;alarmaient;alarmèrent;alarmassent;alarmeraient
alcalinisent;alcalinisaient;alcalinisèrent;alcalinisassent;alcaliniseraient
alcalisent;alcalisaient;alcalisèrent;alcalisassent;alcaliseraient
alcoolisent;alcoolisaient;alcoolisèrent;alcoolisassent;alcooliseraient
alertent;alertaient;alertèrent;alertassent;alerteraient
allaient;allèrent;aillent;allassent;iraient
amènent;amenaient;amenèrent;amenassent;ameneraient
amusent;amusaient;amusèrent;amusassent;amuseraient
annoncent;annonçaient;annoncèrent;annonçassent;annonceraient
aperçoivent;apercevaient;aperçurent;aperçussent;apercevraient
apparaissent;apparaissaient;apparèrent;apparussent;apparaîtraient
appellent;appelaient;appelèrent;appelassent;appeleraient
apportent;apportaient;apportèrent;apportassent;apporteraient
apprennent;apprenaient;apprèrent;apprissent;apprendraient
approchent;approchaient;approchèrent;approchassent;approcheraient
arrangent;arrangeaient;arrangèrent;arrangeassent;arrangeraient
arrêtent;arrêtaient;arrêtèrent;arrêtassent;arrêteraient
arrivent;arrivaient;arrivèrent;arrivassent;arriveraient
assurent;assuraient;assurèrent;assurassent;assureraient
attaquent;attaquaient;attaquèrent;attaquassent;attaqueraient
atteignent;atteignaient;atteignèrent;atteignissent;atteindraient
attendent;attendaient;attendèrent;attendissent;attendraient
avaient;eurent;eussent;auraient;aient
avancent;avançaient;avancèrent;avançassent;avanceraient
babillent;babillaient;babillèrent;babillassent;babilleraient
bâchent;bâchaient;bâchèrent;bâchassent;bâcheraient
bachotent;bachotaient;bachotèrent;bachotassent;bachoteraient
bâclent;bâclaient;bâclèrent;bâclassent;bâcleraient
badigeonnent;badigeonnaient;badigeonnèrent;badigeonnassent;badigeonneraient
badinent;badinaient;badinèrent;badinassent;badineraient
bafouent;bafouaient;bafouèrent;bafouassent;bafoueraient
bafouillent;bafouillaient;bafouillèrent;bafouillassent;bafouilleraient
bâfrent;bâfraient;bâfrèrent;bâfrassent;bâfreraient
bagarrent;bagarraient;bagarrèrent;bagarrassent;bagarreraient
bâglent;bâglaient;bâglèrent;bâglassent;bâgleraient
